{'Device Status': 'Connected', 'Name': 'Gregory Callahan', 'User Name': 'craig15', 'MAC Address': '6f:19:66:ec:88:bb', 'IP Address': '73.205.105.74', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -45, 'Best RSSI (dBm)': -39, 'Uplink Data': 222888, 'Downlink Data': 678313, 'Avg. data rate': 531, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 15, 46, 28, 4485), 'First Detected At': datetime.datetime(2024, 2, 5, 1, 27, 38, 269590), 'Location': 'Dianaside', 'Sticky': True, 'Tag': 'city'}
{'Device Status': 'Failed', 'Name': 'Kathryn Jones', 'User Name': 'jordankevin', 'MAC Address': 'bc:06:f9:e2:ea:9c', 'IP Address': '217.49.140.29', 'OS': 'iOS', 'Associated Access Point': 'AP2', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -51, 'Best RSSI (dBm)': -43, 'Uplink Data': 923147, 'Downlink Data': 789426, 'Avg. data rate': 842, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 5, 23, 53, 23, 186006), 'First Detected At': datetime.datetime(2024, 1, 12, 16, 41, 44, 894097), 'Location': 'East Donaldfurt', 'Sticky': True, 'Tag': 'exactly'}
{'Device Status': 'Connected', 'Name': 'James Patterson DVM', 'User Name': 'john58', 'MAC Address': '2b:55:d4:54:39:93', 'IP Address': '189.51.12.156', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -46, 'Best RSSI (dBm)': -54, 'Uplink Data': 767834, 'Downlink Data': 380496, 'Avg. data rate': 399, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 2, 17, 31, 34, 177574), 'First Detected At': datetime.datetime(2024, 2, 4, 21, 13, 33, 677987), 'Location': 'Paulshire', 'Sticky': True, 'Tag': 'couple'}
{'Device Status': 'Connected', 'Name': 'Janice Strong', 'User Name': 'josephkim', 'MAC Address': 'cc:cb:65:ae:96:f6', 'IP Address': '216.29.245.79', 'OS': 'Windows', 'Associated Access Point': 'AP1', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -59, 'Best RSSI (dBm)': -56, 'Uplink Data': 129987, 'Downlink Data': 503173, 'Avg. data rate': 842, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 2, 5, 47, 41, 339126), 'First Detected At': datetime.datetime(2024, 1, 16, 8, 14, 19, 52318), 'Location': 'East Hannah', 'Sticky': True, 'Tag': 'say'}
{'Device Status': 'Connected', 'Name': 'Anna Morales', 'User Name': 'kathrynaguirre', 'MAC Address': '8a:35:00:b4:8b:3d', 'IP Address': '148.131.26.64', 'OS': 'Linux', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -62, 'Best RSSI (dBm)': -35, 'Uplink Data': 168215, 'Downlink Data': 387372, 'Avg. data rate': 880, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 4, 14, 45, 93677), 'First Detected At': datetime.datetime(2024, 1, 26, 6, 54, 10, 968807), 'Location': 'West Christopherside', 'Sticky': False, 'Tag': 'morning'}
{'Device Status': 'Failed', 'Name': 'Megan Smith', 'User Name': 'timothy17', 'MAC Address': '30:5c:73:0f:a2:2d', 'IP Address': '92.47.23.215', 'OS': 'Windows', 'Associated Access Point': 'AP1', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -82, 'Best RSSI (dBm)': -65, 'Uplink Data': 745471, 'Downlink Data': 702481, 'Avg. data rate': 980, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 1, 47, 26, 633553), 'First Detected At': datetime.datetime(2024, 2, 1, 12, 49, 28, 403950), 'Location': 'Kristaport', 'Sticky': True, 'Tag': 'girl'}
{'Device Status': 'Failed', 'Name': 'Heidi Crawford', 'User Name': 'mhernandez', 'MAC Address': '45:e5:af:cb:23:09', 'IP Address': '150.145.1.243', 'OS': 'Windows', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -41, 'Best RSSI (dBm)': -53, 'Uplink Data': 608209, 'Downlink Data': 321711, 'Avg. data rate': 116, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 2, 1, 23, 657643), 'First Detected At': datetime.datetime(2024, 1, 15, 20, 19, 44, 561542), 'Location': 'East Anitabury', 'Sticky': False, 'Tag': 'movement'}
{'Device Status': 'Connected', 'Name': 'Anna Price', 'User Name': 'mccluredarren', 'MAC Address': 'a7:53:cd:6a:e9:fc', 'IP Address': '156.131.52.102', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -40, 'Best RSSI (dBm)': -33, 'Uplink Data': 831972, 'Downlink Data': 136354, 'Avg. data rate': 129, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 4, 12, 19, 28, 479810), 'First Detected At': datetime.datetime(2024, 2, 1, 19, 25, 8, 236381), 'Location': 'East Warrenbury', 'Sticky': False, 'Tag': 'improve'}
{'Device Status': 'Failed', 'Name': 'Gregory Walker', 'User Name': 'michael04', 'MAC Address': '47:b9:31:2b:eb:a1', 'IP Address': '152.216.40.65', 'OS': 'Windows', 'Associated Access Point': 'AP3', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -50, 'Best RSSI (dBm)': -36, 'Uplink Data': 443209, 'Downlink Data': 918739, 'Avg. data rate': 913, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 7, 6, 23, 38, 683373), 'First Detected At': datetime.datetime(2024, 1, 27, 22, 33, 1, 693058), 'Location': 'New John', 'Sticky': True, 'Tag': 'begin'}
{'Device Status': 'Connected', 'Name': 'Jennifer Williams', 'User Name': 'lauren48', 'MAC Address': '58:3e:e6:30:19:0c', 'IP Address': '58.123.230.73', 'OS': 'Linux', 'Associated Access Point': 'AP2', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -81, 'Best RSSI (dBm)': -61, 'Uplink Data': 394450, 'Downlink Data': 795746, 'Avg. data rate': 827, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 14, 23, 2, 706445), 'First Detected At': datetime.datetime(2024, 1, 16, 17, 21, 22, 681593), 'Location': 'Port Amyberg', 'Sticky': True, 'Tag': 'woman'}
{'Device Status': 'Connected', 'Name': 'Cheryl Trevino', 'User Name': 'pughjillian', 'MAC Address': 'c1:97:99:0b:f2:55', 'IP Address': '26.93.34.214', 'OS': 'Windows', 'Associated Access Point': 'AP2', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -76, 'Best RSSI (dBm)': -42, 'Uplink Data': 964418, 'Downlink Data': 620379, 'Avg. data rate': 645, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 19, 15, 22, 899401), 'First Detected At': datetime.datetime(2024, 2, 6, 6, 3, 59, 854430), 'Location': 'Johnfort', 'Sticky': False, 'Tag': 'improve'}
